CustomerKey,AgeGroup,Gender,City,LoyaltyMember
777,45-59,F,Cluj-Napoca,0
778,30-44,F,Cluj-Napoca,0
779,60-74,F,Cluj-Napoca,0
780,60-74,F,Other,1
781,30-44,F,Cluj-Napoca,0
782,75+,M,Cluj-Napoca,1
783,45-59,M,Cluj-Napoca,1
784,45-59,M,Cluj-Napoca,1
785,75+,M,Apahida,1
786,30-44,F,Cluj-Napoca,1
787,60-74,F,Floresti,0
788,30-44,M,Apahida,0
789,60-74,F,Cluj-Napoca,1
790,45-59,M,Cluj-Napoca,0
791,30-44,M,Other,1
792,30-44,F,Cluj-Napoca,0
793,30-44,F,Cluj-Napoca,1
794,18-29,F,Baciu,1
795,18-29,F,Baciu,0
796,30-44,F,Cluj-Napoca,0
797,18-29,F,Cluj-Napoca,0
798,30-44,M,Cluj-Napoca,0
799,60-74,M,Apahida,0
800,60-74,M,Cluj-Napoca,0
801,60-74,F,Cluj-Napoca,1
802,30-44,F,Floresti,1
803,75+,F,Other,1
804,45-59,F,Apahida,1
805,18-29,M,Cluj-Napoca,0
806,18-29,F,Cluj-Napoca,1
807,60-74,F,Other,0
808,30-44,M,Baciu,0
809,45-59,F,Cluj-Napoca,0
810,75+,F,Floresti,0
811,18-29,F,Cluj-Napoca,1
812,18-29,M,Cluj-Napoca,1
813,75+,M,Cluj-Napoca,0
814,45-59,F,Cluj-Napoca,0
815,18-29,M,Cluj-Napoca,1
816,75+,M,Apahida,1
817,75+,M,Cluj-Napoca,0
818,45-59,F,Cluj-Napoca,0
819,45-59,F,Cluj-Napoca,1
820,30-44,M,Cluj-Napoca,0
821,18-29,F,Cluj-Napoca,0
822,45-59,M,Cluj-Napoca,1
823,30-44,M,Cluj-Napoca,0
824,60-74,F,Floresti,1
825,60-74,M,Baciu,0
826,18-29,M,Cluj-Napoca,0
827,45-59,M,Baciu,1
828,30-44,F,Baciu,0
829,60-74,M,Apahida,0
830,30-44,F,Floresti,0
831,45-59,M,Floresti,1
832,45-59,M,Floresti,0
833,30-44,M,Floresti,0
834,60-74,F,Cluj-Napoca,0
835,60-74,F,Other,1
836,45-59,F,Cluj-Napoca,0
837,60-74,F,Apahida,0
838,75+,F,Cluj-Napoca,0
839,30-44,M,Cluj-Napoca,0
840,45-59,F,Cluj-Napoca,1
841,18-29,M,Cluj-Napoca,1
842,60-74,M,Cluj-Napoca,0
843,45-59,F,Cluj-Napoca,0
844,30-44,M,Cluj-Napoca,1
845,18-29,M,Cluj-Napoca,0
846,75+,F,Cluj-Napoca,0
847,30-44,F,Other,1
848,60-74,M,Cluj-Napoca,1
849,18-29,M,Cluj-Napoca,0
850,75+,M,Cluj-Napoca,0
